ZPID,Address,City,State,Price,Monthly Rent,Rent Ratio %,ROI %,Monthly Cash Flow,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
88110174,"15859 Cloverlawn St, Detroit, MI 48238","Detroit",MI,99900,1267,1.27,62.89,524,9990,483,111,150,20261000598,4,1,1928,"MULTI_FAMILY"
73819060,"12 Avoyelles Pl, New Orleans, LA 70129","New Orleans",LA,145000,1836,1.27,71.25,861,14500,701,125,150,2538335,3,2,1979,"SINGLE_FAMILY"
110815574,"402 Boulevard St, Fort Valley, GA 31030","Fort Valley",GA,154999,1961,1.27,65.7,849,15500,749,213,150,10683497,6,3,1922,"SINGLE_FAMILY"
456181062,"436 Pleasant St SW, Grand Rapids, MI 49503","Grand Rapids",MI,231700,2919,1.26,60.81,1174,23170,1119,210,200,25042848,4,2,2025,"CONDO"
456181063,"440 Pleasant St SW, Grand Rapids, MI 49503","Grand Rapids",MI,231700,2919,1.26,60.81,1174,23170,1119,210,200,25042849,4,2,2025,"CONDO"
456181071,"448 Pleasant St SW, Grand Rapids, MI 49503","Grand Rapids",MI,231700,2919,1.26,60.81,1174,23170,1119,210,200,25042853,4,2,2025,"CONDO"
456181092,"452 Pleasant St SW, Grand Rapids, MI 49503","Grand Rapids",MI,231700,2919,1.26,60.81,1174,23170,1119,210,200,25042854,4,2,2025,"CONDO"
94317703,"308 W Dunn St, Fulton, IN 46931","Fulton",IN,84000,1057,1.26,63.12,442,8400,406,59,150,202549075,3,1,1900,"SINGLE_FAMILY"
66683684,"3117 Manor Dr NE, Palm Bay, FL 32905","Palm Bay",FL,149000,1866,1.25,34.8,432,14900,720,240,150,1068099,3,3,1985,"TOWNHOUSE"
52950094,"9374 County Road 657, Bushnell, FL 33513","Bushnell",FL,125000,1557,1.25,71.45,744,12500,604,59,150,TB8471345,3,2,1984,"MANUFACTURED"
36521152,"1610 McHenry St, Baltimore, MD 21223","Baltimore",MD,135000,1677,1.24,76.18,857,13500,652,18,150,MDBA2206598,3,2,1920,"TOWNHOUSE"
458694297,"8506 NE 34th Pl, Spencer, OK 73084","Spencer",OK,125000,1545,1.24,65.54,683,12500,604,108,150,1204418,3,2,2024,"SINGLE_FAMILY"
28812012,"1638 Birch Pl, Corpus Christi, TX 78416","Corpus Christi",TX,100000,1235,1.23,71.35,595,10000,483,7,150,467189,3,1,1955,"SINGLE_FAMILY"
92189185,"32 Grassy Lake Cir, Lake Placid, FL 33852","Lake Placid",FL,89000,1099,1.23,55.58,412,8900,430,107,150,11618734,1,1,2017,"MANUFACTURED"
