ZPID,Address,City,State,Price,Rent,Down Payment,Loan Amount,Monthly Mortgage,Monthly Tax,Monthly Insurance,Monthly HOA,Total Expenses,Monthly Cash Flow,Annual Cash Flow,ROI,Has Real Tax Data,Has Real Insurance Data,Has HOA Data,Annual Tax Amount,Annual Insurance Amount
65251742,"6307 Starview Dr, Lancaster, CA 93536","Lancaster",CA,599999,4217,60000,539999,2899,0,150,179,3228,989,11870,19.78,false,false,true,0,0
45387010,"4411 Bay Beach Ln APT 744, Fort Myers Beach, FL 33931","Fort Myers Beach",FL,400000,4018,40000,360000,1933,0,150,967,3050,968,11621,29.05,false,false,true,0,0
48185611,"14834 SW 160th St, Rose Hill, KS 67133","Rose Hill",KS,205000,2107,20500,184500,990,0,150,0,1140,967,11599,56.58,false,false,false,0,0
45577254,"716 Violet St, Tallahassee, FL 32308","Tallahassee",FL,257500,2352,25750,231750,1244,0,150,0,1394,958,11495,44.64,false,false,false,0,0
113023354,"5 W Pond, Rockport, TX 78382","Rockport",TX,599000,4029,59900,539100,2894,0,150,31,3075,954,11448,19.11,false,false,true,0,0
27187944,"8105 Courageous Dr, Rowlett, TX 75089","Rowlett",TX,225000,2174,22500,202500,1087,0,150,0,1237,937,11243,49.97,false,false,false,0,0
87372281,"807 N Austin St, Jasper, TX 75951","Jasper",TX,65900,1399,6590,59310,318,0,150,0,468,931,11167,169.46,false,false,false,0,0
43706506,"2464 HOPKINS Street, Orange Park, FL 32073","Orange Park",FL,315000,2600,31500,283500,1522,0,150,0,1672,928,11137,35.36,false,false,false,0,0
108431854,"540 N Datil St, Clewiston, FL 33440","Clewiston",FL,80000,1456,8000,72000,387,0,150,0,537,919,11034,137.92,false,false,false,0,0
2082955631,"9913 River Rd Trlr 30, Wilmington, NC 28412","Wilmington",NC,110000,1597,11000,99000,531,0,150,0,681,916,10987,99.88,false,false,false,0,0
234405779,"540 Highlands Ave, Dickinson, ND 58601","Dickinson",ND,335000,2682,33500,301500,1619,0,150,0,1769,913,10962,32.72,false,false,false,0,0
27021902,"516 Clover Ln, Garland, TX 75043","Garland",TX,249000,2261,24900,224100,1203,0,150,0,1353,908,10896,43.76,false,false,false,0,0
80614609,"7208 Timber Rd, Alvarado, TX 76009","Alvarado",TX,209000,2061,20900,188100,1010,0,150,0,1160,901,10815,51.75,false,false,false,0,0
